,threshold,accuracy,precision,recall,f1_mikro,f1_makro
0,0.05,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
1,0.1,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
2,0.15,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
3,0.2,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
4,0.25,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
5,0.3,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
6,0.4,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
7,0.5,0.0,0.02343871671079271,0.15575679172056922,0.04074587972520221,0.00912629456327509
8,0.6,0.0,0.0,0.0,0.0,0.0
9,0.7,0.0,0.0,0.0,0.0,0.0
10,0.8,0.0,0.0,0.0,0.0,0.0
11,0.9,0.0,0.0,0.0,0.0,0.0
